"1842","5"
"1859","4"
"1868","60"
"1869","69"
"1871","3"
"1872","6"
"1873","27"
"1874","2"
"1875","6"
"1876","9"
"1877","114"
"1878","127"
"1879","300"
"1880","160"
"1881","81"
"1882","35"
"1883","231"
"1884","342"
"1885","716"
"1886","335"
"1887","73"
"1888","157"
"1889","133"
"1890","107"
"1891","98"
"1893","56"
"1894","1"
"1895","2"
"1896","3"
"1897","5"
"1898","26"
"1899","41"
"1900","18"
"1901","7"
"1902","305"
"1903","2"
"1904","60"
"1905","11"
"1906","380"
"1907","1"
"1908","429"
"1909","545"
"1911","2"
"1912","1"
"1913","5"
"1914","6"
"1915","1"
"1916","1"
"1917","1"
"1919","1"
"1920","2"
"1922","6"
"1923","2"
"1924","4"
"1925","4"
"1926","2"
"1927","8"
"1929","5"
"1930","1"
"1931","5"
"1932","14"
"1933","160"
"1934","5"
"1935","3"
"1936","4"
"1937","6"
"1938","103"
"1939","195"
"1940","22"
"1941","39"
"1945","3"
"1946","2"
"1947","23"
"1948","19"
"1949","12"
"1950","20"
"1951","17"
"1952","23"
"1953","9"
"1954","46"
"1955","54"
"1956","73"
"1957","177"
"1958","161"
"1959","173"
"1960","179"
"1961","315"
"1962","405"
"1963","818"
"1964","1453"
"1965","891"
"1966","741"
"1967","640"
"1968","1189"
"1969","560"
"1970","441"
"1971","661"
"1972","531"
"1973","418"
"1974","426"
"1975","657"
"1976","524"
"1977","383"
"1978","504"
"1979","500"
"1980","1191"
"1981","2010"
"1982","1541"
"1983","799"
"1984","1265"
"1985","1347"
"1986","831"
"1987","562"
"1988","795"
"1989","1358"
"1990","3616"
"1991","7305"
"1992","5526"
"1993","4097"
"1994","5262"
"1995","3160"
"1996","3295"
"1997","4267"
"1998","4949"
"1999","4182"
"2000","30461"
"2001","9058"
"2002","18540"
"2003","29430"
"2004","42759"
"2005","41435"
"2006","41800"
"2007","28999"
"2008","41615"
"2009","28924"
"2010","38391"
"2011","26577"
"2012","8734"
"2013","4882"
"2014","20082"
"2015","22610"
"2016","4"
